CountryCode,Language,IsOfficial,Percentage,_metadata_timestamp,_metadata_read_timestamp,_metadata_read_method,_metadata_source_type,_metadata_deleted,_metadata_change_type,_metadata_uuid,_metadata_log_file,_metadata_log_position
GEO,Azerbaijani,F,5.5,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,ab6a9e80-cd1e-4300-8838-8d81bae63ca8,,0
BGD,Marma,F,0.2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,4a9c0ff6-083a-4226-bbd9-b93248b545b6,,0
RWA,Rwanda,T,100,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,de388b5f-44b7-4871-86b9-86f2b6bc2715,,0
ERI,Hadareb,F,3.8,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,47623248-9fd9-42ce-bacb-c08a386923b1,,0
GNB,Ful,F,16.6,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,74dffa65-076e-4c8f-b38e-09294e0dff9b,,0
USA,German,F,0.7,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,d9f96bb6-ca5d-4164-b98f-82789bd90a53,,0
ZAF,Northsotho,F,9.1,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,dee6c20e-57c5-42ed-af66-28410cda85b3,,0
UZB,Tadzhik,F,4.4,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,f5cd72a1-4511-43ef-98da-14cff1e67be2,,0
BTN,Dzongkha,T,50,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,32fd61c5-fcc1-4a68-ae0e-c327d3ac95ae,,0
FRA,Turkish,F,0.4,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,bfc48538-9018-4e0a-9450-92131e30ce56,,0
IND,Telugu,F,7.8,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,70373f24-8489-4d12-9578-f66424e7c003,,0
DMA,Creole English,F,100,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,f25cc269-21a3-4584-bd57-674063906fe1,,0
POL,Polish,T,97.6,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,6bf45170-2af6-4d01-8236-daaef32fdd8a,,0
BGD,Khasi,F,0.1,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,1f1b61ee-afd5-43c1-93b9-78696bb12872,,0
LBR,Kru,F,7.2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,fb37082a-806e-477d-8b66-c4400f546ada,,0
CAN,Italian,F,1.7,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,4d012476-e642-4896-95da-4eb5ac99344b,,0
UZB,Uzbek,T,72.6,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,34c43582-8a48-4d89-9b25-04f548266dba,,0
HND,Spanish,T,97.2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,092ba4f4-d8f7-4429-99f8-cea3debe5bb4,,0
ARG,Spanish,T,96.8,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,de15ab37-24e1-4d38-9448-bded199a02ca,,0
MMR,Chin,F,2.2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,bc800ef6-6487-4546-86f5-f46db8c18dcd,,0
BEN,Aizo,F,8.7,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,361091fb-e1b7-4647-b2ba-7c7c70adf9d4,,0
TCD,Ouaddai,F,8.7,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,86e911fd-29e5-4b2c-8c84-e96ab4adfdf8,,0
KOR,Chinese,F,0.1,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,7718233c-fd02-4bd2-a88d-276e5a8e6a33,,0
MOZ,Lomwe,F,7.8,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,b8413c5f-0da5-4b46-819d-5c658e3f6427,,0
MLT,English,T,2.1,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,9d80de0c-c8e5-4d69-994c-dc318cf0fd0a,,0
NGA,Ibibio,F,5.6,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,4693da9c-4426-4874-a02e-2b6d92ba793f,,0
CAN,Polish,F,0.7,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,c6c9b99f-83cb-4b5c-b883-36bfea4f72a0,,0
KAZ,Tatar,F,2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,b6c14e95-fe2b-4d6d-b9bd-487a02fa068d,,0
ERI,Bilin,F,3,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,25826bb3-06d3-4bc8-87a8-340392fcaa26,,0
ALB,Albaniana,T,97.9,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,beaf940b-d43e-4821-bcef-2a779a3343ea,,0
ITA,French,F,0.5,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,f86f8b5a-8a96-4777-bd8d-12539d50c340,,0
